Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,23.0,2.0,0.34,1.0,0.0,0.0,3.0,0.5,0
2011,48.0,4.0,0.8,10.0,78.0,7.8,19.0,3.8,99
2012,42.0,4.0,0.8,15.0,43.0,2.87,14.0,2.8,0
2013,43.0,4.0,0.8,15.0,4.0,0.27,21.0,4.2,0
2014,44.0,7.0,1.4,17.0,67.0,3.94,-2.0,-0.4,74
2015,46.0,8.0,1.32,17.0,62.0,3.65,8.0,1.33,14
2016,48.0,7.0,1.16,15.0,23.0,1.53,6.0,1.0,-12
2017,50.0,9.0,1.8,18.0,4.0,0.22,12.0,2.4,28
2018,57.0,12.0,2.4,19.0,38.0,2.0,13.0,2.6,33
2019,61.0,11.0,2.2,19.0,-9.0,-0.0,8.0,1.6,-8
