Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-2.0,-0.04,-1.0,0.0,0.0,0.0,0.0,0
2011,3.0,-5.0,-0.06,-4.0,-1.0,-0.0,-4.0,-0.06,-151
2012,3.0,-12.0,-2.0,-10.0,-2.0,-0.0,-3.0,-0.5,-140
2013,4.0,-17.0,-1.07,-14.0,-4.0,-0.0,-6.0,-0.38,-41
2014,5.0,-31.0,-1.1,-15.0,22.0,0.0,-30.0,-1.07,-82
2015,4.0,-20.0,-0.49,2.0,27.0,13.5,-7.0,-0.17,35
2016,4.0,-18.0,-4.5,5.0,36.0,7.2,-5.0,-1.25,9
2017,4.0,-35.0,-7.0,-15.0,44.0,0.0,-2.0,-0.4,-94
2018,4.0,55.0,5.01,0.0,35.0,0.0,-26.0,-2.36,257
2019,12.0,-8.0,-0.12,4.0,-22.0,-0.0,-1.0,-0.02,-114
