Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,172.0,-5.0,-0.13,7.0,0.0,0.0,-4.0,-0.11,0
2011,415.0,9.0,0.22,26.0,-111.0,-0.0,31.0,0.79,280
2012,460.0,21.0,0.27,49.0,-122.0,-0.0,22.0,0.29,133
2013,508.0,36.0,0.46,76.0,-156.0,-0.0,77.0,1.0,71
2014,587.0,31.0,0.4,70.0,-210.0,-0.0,93.0,1.19,-13
2015,681.0,34.0,0.43,83.0,-219.0,-0.0,55.0,0.7,9
2016,747.0,25.0,0.32,58.0,-133.0,-0.0,21.0,0.27,-26
2017,838.0,33.0,0.4,62.0,-223.0,-0.0,144.0,1.76,31
2018,890.0,11.0,0.13,30.0,-207.0,-0.0,92.0,1.11,-66
2019,3065.0,-89.0,-1.11,-83.0,-68.0,-0.0,-50.0,-0.63,-908
2020,3118.0,-86.0,-1.07,-97.0,-33.0,-0.0,-102.0,-1.29,3
