Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,17.0,2.0,0.4,1.0,0.0,0.0,-19.0,-3.8,0
2011,30.0,2.0,0.4,2.0,17.0,8.5,4.0,0.8,0
2012,29.0,4.0,0.8,4.0,-47.0,-0.0,2.0,0.4,99
2013,30.0,0.0,0.0,0.0,41.0,0.0,5.0,1.0,-100
2014,26.0,-8.0,-1.6,-2.0,15.0,0.0,1.0,0.2,-80100
2015,24.0,-3.0,-0.6,-3.0,-13.0,-0.0,2.0,0.4,62
2016,22.0,2.0,0.4,4.0,-35.0,-0.0,2.0,0.4,166
2017,21.0,4.0,0.8,4.0,-14.0,-0.0,0.0,0.0,99
2018,20.0,4.0,1.0,4.0,19.0,4.75,0.0,0.0,0
2019,22.0,2.0,0.5,4.0,-26.0,-0.0,0.0,0.0,-50
