Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,49269.0,8643.0,1.23,14779.0,22693.0,1.54,15382.0,2.2,0
2010,65165.0,8288.0,1.03,17870.0,16001.0,0.9,9941.0,1.24,-4
2011,61035.0,10049.0,1.29,20507.0,12490.0,0.61,18580.0,2.38,21
2012,54657.0,14598.0,1.96,18897.0,5061.0,0.27,15419.0,2.07,45
2013,51584.0,22072.0,3.24,22126.0,4081.0,0.18,16478.0,2.42,51
2014,49605.0,9168.0,1.44,17777.0,560.0,0.03,15885.0,2.5,-58
2015,48851.0,6986.0,1.14,14124.0,15609.0,1.11,13291.0,2.15,-23
2016,52824.0,7246.0,1.19,14108.0,24236.0,1.72,14078.0,2.31,3
2017,52546.0,21355.0,3.58,18187.0,23499.0,1.29,14514.0,2.43,194
2018,53647.0,11188.0,1.85,18269.0,22907.0,1.25,13785.0,2.31,-47
2019,51750.0,16307.0,2.87,15606.0,42320.0,2.71,10412.0,1.83,45
