Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,10306.0,508.0,3.12,1151.0,2133.0,1.85,888.0,5.52,0
2010,9991.0,554.0,3.45,1219.0,1201.0,0.99,1103.0,6.89,9
2011,12344.0,1055.0,6.53,1851.0,1109.0,0.6,991.0,6.16,90
2012,13143.0,1154.0,7.63,1990.0,890.0,0.45,1332.0,8.82,9
2013,13014.0,947.0,6.33,1736.0,1047.0,0.6,951.0,6.38,-17
2014,13215.0,1040.0,6.96,1974.0,138.0,0.07,1186.0,7.96,9
2015,12709.0,1011.0,7.11,1866.0,1033.0,0.55,1168.0,8.23,-2
2016,11359.0,806.0,5.95,1556.0,910.0,0.58,1080.0,8.0,-20
2017,12028.0,982.0,7.36,1844.0,4946.0,2.68,1111.0,8.35,21
2018,14300.0,1060.0,7.96,2380.0,4102.0,1.72,1431.0,10.76,7
2019,14319.0,1510.0,11.69,2557.0,3738.0,1.46,1581.0,12.26,42
2020,14199.0,1367.0,10.61,2446.0,8652.0,3.54,1829.0,14.29,-9
