Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1769.0,-550.0,-1.75,-527.0,0.0,0.0,-71.0,-0.23,0
2010,4567.0,-1096.0,0.2,-1197.0,1908.0,0.0,582.0,-0.11,-99
2011,4135.0,-210.0,0.23,-283.0,2005.0,0.0,9.0,-0.01,80
2012,4818.0,205.0,0.56,204.0,1243.0,6.09,751.0,2.09,197
2013,5678.0,2618.0,6.71,557.0,583.0,1.05,852.0,2.19,1177
2014,5820.0,472.0,1.24,728.0,666.0,0.91,261.0,0.7,-81
2015,5980.0,492.0,1.34,860.0,1588.0,1.85,-378.0,-1.05,4
2016,7674.0,601.0,1.74,986.0,2762.0,2.8,31.0,0.09,22
2017,8575.0,445.0,1.42,988.0,3172.0,3.21,632.0,2.05,-25
2018,10187.0,1020.0,3.53,1396.0,2266.0,1.62,1391.0,4.85,129
2019,40302.0,1015.0,3.67,1391.0,1874.0,1.35,1019.0,3.71,0
2020,40600.0,1052.0,3.81,1440.0,1209.0,0.84,1061.0,3.92,3
