Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,789.0,48.0,0.74,91.0,0.0,0.0,101.0,1.58,0
2010,2006.0,145.0,2.17,285.0,-193.0,-0.0,241.0,3.65,202
2011,2679.0,225.0,3.25,415.0,-223.0,-0.0,218.0,3.16,55
2012,3241.0,311.0,4.42,555.0,-315.0,-0.0,314.0,4.49,38
2013,3821.0,376.0,5.36,673.0,191.0,0.28,240.0,3.43,20
2014,4539.0,451.0,6.71,840.0,65.0,0.08,325.0,4.85,19
2015,4786.0,453.0,6.75,854.0,286.0,0.33,193.0,2.88,0
2016,4594.0,211.0,3.27,502.0,996.0,1.98,382.0,5.97,-53
2017,5503.0,172.0,3.5,547.0,755.0,1.38,403.0,8.22,-18
2018,6163.0,333.0,5.27,724.0,1784.0,2.46,251.0,3.98,93
2019,6824.0,322.0,5.17,723.0,1521.0,2.1,404.0,6.52,-3
2020,6772.0,269.0,4.32,651.0,1724.0,2.65,395.0,6.48,-16
