Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,400.0,9.0,0.82,15.0,0.0,0.0,22.0,2.0,0
2011,959.0,27.0,2.46,74.0,269.0,3.64,25.0,2.27,199
2012,1127.0,30.0,2.49,97.0,334.0,3.44,28.0,2.33,11
2013,1202.0,43.0,3.58,102.0,324.0,3.18,44.0,3.67,43
2014,1377.0,45.0,3.75,120.0,376.0,3.13,28.0,2.33,4
2015,1462.0,47.0,3.92,125.0,400.0,3.2,9.0,0.75,4
2016,1275.0,30.0,2.5,97.0,405.0,4.18,45.0,3.75,-36
2017,1411.0,29.0,2.41,120.0,450.0,3.75,18.0,1.5,-3
2018,1656.0,54.0,4.49,141.0,509.0,3.61,15.0,1.25,86
2019,1617.0,37.0,3.07,122.0,558.0,4.57,25.0,2.08,-31
