Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,5.0,-12.0,0.14,-12.0,0.0,0.0,-10.0,0.13,0
2011,4.0,-34.0,0.19,-30.0,-21.0,-0.0,-26.0,0.16,-183
2012,34.0,-10.0,0.22,-7.0,-47.0,-0.0,-4.0,0.09,70
2013,-1.0,-25.0,0.2,-28.0,-17.0,-0.0,-33.0,0.28,-150
2014,2.0,-29.0,0.22,-28.0,13.0,0.0,-31.0,0.26,-16
2015,3.0,59.0,1.01,-22.0,-4.0,-0.0,-26.0,-0.44,303
2016,8.0,-27.0,0.98,-38.0,9.0,0.0,-34.0,1.26,-145
2017,19.0,-82.0,0.98,-77.0,0.0,0.0,-13.0,0.16,-203
2018,32.0,-25.0,1.0,-21.0,10.0,0.0,-11.0,0.44,69
2019,53.0,-16.0,-1.14,-13.0,37.0,0.0,-22.0,-1.57,35
