Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2619.0,161.0,1.68,184.0,74.0,0.4,101.0,1.06,0
2011,2707.0,171.0,1.84,108.0,516.0,4.78,20.0,0.22,6
2012,2859.0,71.0,0.79,179.0,496.0,2.77,51.0,0.58,-58
2013,3769.0,241.0,2.52,312.0,623.0,2.0,34.0,0.36,239
2014,3834.0,77.0,1.01,283.0,771.0,2.72,146.0,1.92,-68
2015,2928.0,144.0,1.63,368.0,867.0,2.36,149.0,1.69,86
2016,2937.0,164.0,1.94,385.0,1032.0,2.68,144.0,1.71,13
2017,3228.0,-59.0,2.12,370.0,1065.0,2.88,125.0,-4.46,-135
2018,3532.0,158.0,1.98,348.0,1185.0,3.41,179.0,2.27,367
2019,2860.0,588.0,7.61,255.0,385.0,1.51,272.0,3.53,272
2020,2672.0,582.0,7.49,238.0,1227.0,5.16,288.0,3.35,-1
