Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1032.0,39.0,1.0,115.0,242.0,2.1,50.0,1.28,0
2010,1612.0,57.0,1.5,111.0,190.0,1.71,86.0,2.26,46
2011,1791.0,71.0,1.7,135.0,231.0,1.71,56.0,1.33,24
2012,1952.0,81.0,1.86,158.0,219.0,1.39,105.0,2.44,14
2013,2078.0,97.0,2.15,173.0,239.0,1.38,89.0,1.98,19
2014,2245.0,110.0,2.49,196.0,306.0,1.56,107.0,2.43,13
2015,2361.0,126.0,2.91,223.0,313.0,1.4,119.0,2.77,14
2016,2569.0,147.0,3.48,261.0,415.0,1.59,132.0,3.14,16
2017,2787.0,189.0,4.59,293.0,479.0,1.63,138.0,3.37,28
2018,2996.0,233.0,5.67,319.0,650.0,2.04,89.0,2.17,23
2019,3198.0,260.0,6.49,345.0,471.0,1.37,265.0,6.63,11
2020,3278.0,258.0,6.44,345.0,552.0,1.6,254.0,6.35,0
