Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,966.0,-425.0,-12.5,-322.0,783.0,0.0,128.0,3.76,0
2012,957.0,47.0,1.37,202.0,887.0,4.39,113.0,3.32,111
2013,1032.0,14.0,0.44,188.0,1006.0,5.35,86.0,2.69,-70
2014,2411.0,-342.0,-8.77,-74.0,3587.0,0.0,68.0,1.74,-2541
2015,4645.0,-115.0,-2.05,395.0,3629.0,9.19,365.0,6.52,66
2016,5025.0,-5.0,-0.07,663.0,3420.0,5.16,381.0,5.6,95
2017,5224.0,48.0,0.72,902.0,5646.0,6.26,209.0,3.12,1061
2018,6256.0,467.0,6.22,1079.0,6265.0,5.81,495.0,6.6,872
2019,5679.0,125.0,1.65,865.0,6029.0,6.97,418.0,5.57,-73
2020,5724.0,107.0,1.47,876.0,5726.0,6.54,287.0,3.99,-14
