Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,109.0,13.0,0.46,18.0,0.0,0.0,31.0,1.11,0
2010,297.0,47.0,1.6,73.0,-182.0,-0.0,32.0,1.1,261
2011,297.0,32.0,1.09,59.0,-179.0,-0.0,46.0,1.59,-31
2012,304.0,-35.0,-1.25,-2.0,-94.0,-0.0,36.0,1.29,-209
2013,345.0,55.0,1.82,77.0,-201.0,-0.0,87.0,2.9,257
2014,347.0,58.0,1.92,79.0,-174.0,-0.0,62.0,2.07,5
2015,342.0,37.0,1.25,62.0,-173.0,-0.0,71.0,2.45,-36
2016,388.0,47.0,1.6,73.0,-250.0,-0.0,85.0,2.93,26
2017,430.0,27.0,0.89,84.0,-282.0,-0.0,50.0,1.67,-42
2018,415.0,68.0,2.25,83.0,-228.0,-0.0,59.0,1.97,151
2019,419.0,192.0,6.6,244.0,-410.0,-0.0,202.0,6.97,182
