Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,173.0,40.0,2.86,27.0,0.0,0.0,12.0,0.86,0
2010,347.0,57.0,3.8,85.0,1132.0,13.32,120.0,8.0,42
2011,366.0,80.0,5.34,130.0,1024.0,7.88,117.0,7.8,40
2012,327.0,76.0,5.07,113.0,1041.0,9.21,-12.0,-0.8,-5
2013,293.0,76.0,5.06,123.0,1003.0,8.15,111.0,7.4,0
2014,300.0,82.0,5.47,135.0,974.0,7.21,84.0,5.6,7
2015,303.0,80.0,5.33,127.0,1058.0,8.33,80.0,5.33,-2
2016,316.0,84.0,5.6,137.0,1011.0,7.38,81.0,5.4,4
2017,322.0,83.0,5.54,137.0,775.0,5.66,80.0,5.33,-1
2018,365.0,109.0,7.25,141.0,495.0,3.51,123.0,8.2,31
2019,393.0,101.0,6.29,136.0,302.0,2.22,97.0,6.06,-7
