Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,72.0,12.0,1.08,23.0,0.0,0.0,-3.0,-0.27,0
2012,78.0,9.0,0.81,18.0,0.0,0.0,-16.0,-1.45,-25
2013,107.0,23.0,2.3,42.0,0.0,0.0,51.0,5.1,155
2014,61.0,5.0,0.5,12.0,0.0,0.0,43.0,4.3,-78
2015,72.0,8.0,0.88,17.0,0.0,0.0,-61.0,-6.78,59
2016,68.0,6.0,0.76,13.0,0.0,0.0,45.0,5.63,-25
2017,64.0,4.0,0.52,10.0,0.0,0.0,78.0,9.75,-33
2018,56.0,0.0,0.0,9.0,0.0,0.0,25.0,3.57,-100
2019,48.0,2.0,2.0,9.0,31.0,3.44,103.0,103.0,19900
2020,43.0,4.0,0.56,11.0,83.0,7.55,60.0,8.57,99
