Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,6.0,-1.0,0.06,-1.0,0.0,0.0,-3.0,0.19,0
2011,16.0,-2.0,0.06,-2.0,-5.0,-0.0,-4.0,0.14,-102
2012,21.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,100
2013,22.0,2.0,0.28,2.0,0.0,0.0,-4.0,-0.57,19900
2014,20.0,-8.0,-8.0,-8.0,-1.0,-0.0,-6.0,-6.0,-498
2015,2.0,-2.0,-2.0,0.0,0.0,0.0,-7.0,-7.0,74
2016,4.0,-2.0,-2.0,-4.0,0.0,0.0,-4.0,-4.0,0
2017,9.0,39.0,5.58,-4.0,-21.0,-0.0,36.0,5.14,2059
2018,12.0,-2.0,-2.0,-2.0,-7.0,-0.0,-3.0,-3.0,-105
2019,8.0,-4.0,-0.36,-4.0,-2.0,-0.0,-6.0,-0.55,-101
