Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,122.0,13.0,0.93,13.0,0.0,0.0,12.0,0.86,0
2011,242.0,-27.0,-1.93,-44.0,-79.0,-0.0,49.0,3.5,-307
2012,260.0,30.0,2.16,44.0,-61.0,-0.0,50.0,3.57,211
2013,290.0,33.0,2.36,53.0,-49.0,-0.0,7.0,0.5,9
2014,290.0,28.0,2.0,43.0,-44.0,-0.0,17.0,1.21,-15
2015,278.0,21.0,1.4,32.0,-53.0,-0.0,29.0,1.93,-25
2016,317.0,27.0,1.8,41.0,-42.0,-0.0,23.0,1.53,28
2017,369.0,17.0,1.14,9.0,-44.0,-0.0,86.0,5.73,-37
2018,438.0,-33.0,-2.35,18.0,-143.0,-0.0,95.0,6.79,-294
2019,493.0,5.0,0.35,68.0,-47.0,-0.0,80.0,5.71,115
