Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,4636.0,54.0,0.87,355.0,1866.0,5.26,259.0,4.18,0
2011,5889.0,274.0,3.86,637.0,1681.0,2.64,323.0,4.55,407
2012,6041.0,431.0,6.16,793.0,1417.0,1.79,359.0,5.13,57
2013,8185.0,144.0,1.78,858.0,3376.0,3.93,178.0,2.2,-66
2014,8239.0,437.0,5.33,855.0,3066.0,3.59,534.0,6.51,203
2015,8019.0,571.0,6.96,999.0,2637.0,2.64,642.0,7.83,30
2016,8201.0,547.0,6.85,1125.0,2486.0,2.21,726.0,9.08,-4
2017,8913.0,534.0,6.94,969.0,2587.0,2.67,346.0,4.49,-2
2018,4798.0,742.0,9.74,1204.0,2379.0,1.98,475.0,6.25,38
2019,9907.0,414.0,5.59,877.0,2253.0,2.57,735.0,9.93,-44
