Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-4.0,-0.12,-4.0,1.0,0.0,-8.0,-0.22,0
2011,3.0,-4.0,-0.56,-4.0,1.0,0.0,-8.0,-1.14,0
2012,4.0,-42.0,-0.76,-38.0,0.0,0.0,-8.0,-0.14,-952
2013,67.0,-16.0,-0.22,-6.0,17.0,0.0,-8.0,-0.1,61
2014,172.0,-7.0,-0.07,3.0,2.0,0.67,-10.0,-0.1,56
2015,169.0,-5.0,-0.39,-4.0,2.0,0.0,3.0,0.23,28
2016,182.0,-7.0,-0.49,-4.0,3.0,0.0,-7.0,-0.5,-40
2017,136.0,-4.0,-0.28,-2.0,5.0,0.0,-7.0,-0.47,42
2018,101.0,-2.0,-0.12,0.0,3.0,0.0,0.0,0.0,49
2019,96.0,2.0,0.12,4.0,1.0,0.25,1.0,0.07,200
