Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1061.0,43.0,0.79,97.0,276.0,2.85,163.0,3.08,0
2011,1111.0,-29.0,0.4,168.0,215.0,1.28,88.0,-1.16,-167
2012,1129.0,69.0,1.14,217.0,48.0,0.22,160.0,2.67,338
2013,1066.0,56.0,0.65,214.0,31.0,0.14,83.0,1.0,-18
2014,803.0,8.0,0.53,60.0,-101.0,-0.0,40.0,2.67,-85
2015,803.0,-10.0,0.54,45.0,135.0,3.0,-16.0,0.89,-224
2016,848.0,7.0,0.35,71.0,0.0,0.0,50.0,2.38,170
2017,174.0,3.0,0.6,-99.0,58.0,0.0,-13.0,-2.6,-57
2018,220.0,23.0,23.0,-95.0,88.0,0.0,-22.0,-22.0,664
2019,284.0,1028.0,14.08,-145.0,-1061.0,-0.0,-9.0,-0.12,4367
2020,188.0,-165.0,-2.38,-186.0,-767.0,-0.0,-1.0,-0.01,-116
