Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,79.0,2.0,0.16,2.0,0.0,0.0,6.0,0.46,0
2011,142.0,4.0,0.32,7.0,-28.0,-0.0,2.0,0.17,99
2012,144.0,4.0,0.32,5.0,-14.0,-0.0,-1.0,-0.08,0
2013,169.0,2.0,0.16,2.0,-9.0,-0.0,-7.0,-0.58,-50
2014,192.0,5.0,0.41,11.0,14.0,1.27,0.0,0.0,148
2015,184.0,5.0,0.41,7.0,20.0,2.86,7.0,0.58,0
2016,175.0,2.0,0.16,5.0,14.0,2.8,6.0,0.5,-60
2017,185.0,4.0,0.36,2.0,26.0,13.0,0.0,0.0,99
2018,198.0,4.0,0.32,5.0,27.0,5.4,-5.0,-0.42,0
2019,189.0,4.0,0.32,7.0,34.0,4.86,-8.0,-0.67,0
