Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-6.0,-6.0,-4.0,0.0,0.0,-2.0,-2.0,0
2011,0.0,-41.0,-13.67,-40.0,-46.0,-0.0,-37.0,-12.33,-584
2012,0.0,-66.0,-66.0,-62.0,-2.0,-0.0,-42.0,-42.0,-61
2013,0.0,-59.0,-59.0,-65.0,1.0,0.0,-45.0,-45.0,10
2014,0.0,-60.0,-3.53,-56.0,-80.0,-0.0,-50.0,-2.94,-1
2015,0.0,-100.0,-2.57,-95.0,-472.0,-0.0,-89.0,-2.28,-66
2016,0.0,-181.0,-4.21,-181.0,-331.0,-0.0,-141.0,-3.28,-81
2017,21.0,-252.0,-5.86,-241.0,-86.0,-0.0,-207.0,-4.81,-39
2018,98.0,-219.0,-4.85,-185.0,-57.0,-0.0,-205.0,-4.56,13
2019,171.0,-131.0,-2.84,-92.0,35.0,0.0,-81.0,-1.76,40
