Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,109.0,-8.0,-0.26,-4.0,0.0,0.0,-4.0,-0.13,0
2011,822.0,88.0,6.77,106.0,11.0,0.1,46.0,3.54,1201
2012,1012.0,21.0,0.61,35.0,-35.0,-0.0,32.0,0.94,-76
2013,1496.0,185.0,5.61,201.0,-113.0,-0.0,102.0,3.09,780
2014,1272.0,82.0,2.06,110.0,185.0,1.68,-26.0,-0.65,-55
2015,1384.0,-150.0,-3.49,-117.0,228.0,0.0,18.0,0.42,-282
2016,2039.0,44.0,1.11,98.0,148.0,1.51,17.0,0.43,129
2017,2156.0,-76.0,-1.99,-48.0,209.0,0.0,-51.0,-1.34,-272
2018,2381.0,291.0,6.75,338.0,23.0,0.07,321.0,7.47,482
2019,3613.0,381.0,9.08,468.0,130.0,0.28,-88.0,-2.1,30
2020,5036.0,500.0,11.86,579.0,52.0,0.09,121.0,2.81,31
