Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-2.0,-0.66,-2.0,0.0,0.0,-1.0,-0.33,0
2011,1.0,-4.0,-4.0,-4.0,0.0,0.0,-3.0,-3.0,-101
2012,4.0,-4.0,-4.0,-2.0,-5.0,-0.0,-12.0,-12.0,0
2013,9.0,-2.0,-2.0,1.0,-52.0,-0.0,-26.0,-26.0,49
2014,35.0,6.0,0.32,22.0,-8.0,-0.0,-74.0,-4.11,401
2015,29.0,-8.0,-8.0,2.0,41.0,20.5,-100.0,-100.0,-233
2016,29.0,-36.0,-36.0,-44.0,-71.0,-0.0,-23.0,-23.0,-350
2017,65.0,1.0,0.2,30.0,-15.0,-0.0,-109.0,-21.8,102
2018,117.0,7.0,0.35,51.0,36.0,0.71,-133.0,-6.65,593
2019,194.0,29.0,0.43,112.0,356.0,3.18,-50.0,-0.76,313
