Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,79.0,71.0,4.18,2.0,-222.0,-0.0,-3.0,-0.18,0
2012,156.0,7.0,0.42,6.0,-148.0,-0.0,-51.0,-3.0,-90
2013,139.0,2.0,0.14,2.0,-140.0,-0.0,3.0,0.2,-71
2014,136.0,-1.0,-0.07,0.0,-133.0,0.0,1.0,0.07,-149
2015,134.0,-6.0,-0.46,-6.0,-97.0,-0.0,-13.0,-1.0,-506
2016,141.0,-6.0,-0.46,-3.0,-62.0,-0.0,-16.0,-1.23,0
2017,135.0,-6.0,-0.5,-2.0,-61.0,-0.0,-3.0,-0.25,0
2018,161.0,2.0,0.14,5.0,-60.0,-0.0,-1.0,-0.07,133
2019,166.0,-7.0,-7.0,-4.0,-50.0,-0.0,-6.0,-6.0,-448
2020,159.0,-7.0,-6.07,-2.0,-43.0,-0.0,-4.0,-0.31,0
