Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-6.0,-0.74,-5.0,0.0,0.0,-3.0,-0.38,0
2011,4.0,-8.0,-8.0,-7.0,0.0,0.0,-11.0,-11.0,-33
2012,4.0,-7.0,-1.4,-7.0,-8.0,-0.0,-6.0,-1.2,12
2013,4.0,-11.0,-0.66,-10.0,-10.0,-0.0,-11.0,-0.69,-57
2014,3.0,-8.0,-0.24,-8.0,-21.0,-0.0,-8.0,-0.28,27
2015,4.0,-7.0,-2.31,-6.0,-14.0,-0.0,-4.0,-1.33,12
2016,4.0,-3.0,0.13,-2.0,-11.0,-0.0,0.0,0.0,57
2017,4.0,-19.0,0.11,-7.0,-40.0,-0.0,-4.0,0.03,-535
2018,6.0,-58.0,0.11,-54.0,0.0,0.0,-36.0,0.09,-205
2019,5.0,-18.0,-0.93,-21.0,-7.0,-0.0,-21.0,-1.11,68
