Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,380.0,5.0,0.16,24.0,0.0,0.0,45.0,1.5,0
2010,635.0,-91.0,-3.04,-46.0,147.0,0.0,63.0,2.1,-1916
2011,765.0,15.0,0.5,63.0,153.0,2.43,37.0,1.23,116
2012,788.0,12.0,0.39,67.0,159.0,2.37,40.0,1.33,-20
2013,825.0,-5.0,-0.17,49.0,117.0,2.39,59.0,1.97,-141
2014,860.0,-82.0,-2.64,-46.0,100.0,0.0,16.0,0.52,-1543
2015,1039.0,23.0,0.74,89.0,141.0,1.58,102.0,3.29,128
2016,1005.0,33.0,1.03,95.0,40.0,0.42,113.0,3.53,43
2017,985.0,60.0,1.88,110.0,-12.0,-0.0,70.0,2.19,81
2018,1001.0,62.0,1.92,111.0,-88.0,-0.0,89.0,2.78,3
2019,1046.0,63.0,1.95,105.0,-191.0,-0.0,119.0,3.72,1
