Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,30.0,-4.0,-0.04,-4.0,5.0,0.0,-7.0,-0.07,0
2012,33.0,-4.0,-0.04,-4.0,3.0,0.0,-8.0,-0.07,0
2013,39.0,-5.0,-0.05,-5.0,6.0,0.0,-9.0,-0.08,-25
2014,46.0,-8.0,-0.07,-6.0,5.0,0.0,-8.0,-0.07,-60
2015,55.0,-4.0,-0.04,-2.0,12.0,0.0,-12.0,-0.08,49
2016,70.0,-2.0,-0.02,4.0,12.0,3.0,-6.0,-0.05,49
2017,75.0,0.0,0.0,4.0,33.0,8.25,-6.0,-0.07,100
2018,88.0,2.0,0.02,4.0,38.0,9.5,-9.0,-0.11,19900
2019,94.0,7.0,0.04,3.0,47.0,15.67,-12.0,-0.06,248
2020,93.0,7.0,0.03,3.0,46.0,15.33,-10.0,-0.11,0
