Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,8583.0,-369.0,4.5,170.0,3802.0,22.36,642.0,-7.83,0
2009,9856.0,-22.0,0.76,918.0,2822.0,3.07,1231.0,-42.45,94
2010,10018.0,215.0,3.18,1083.0,3010.0,2.78,524.0,7.82,1077
2011,10609.0,-122.0,3.59,625.0,3210.0,5.14,695.0,-20.44,-156
2012,10219.0,-654.0,3.7,109.0,3008.0,27.6,485.0,-2.74,-436
2013,10478.0,217.0,3.49,986.0,2829.0,2.87,479.0,7.73,133
2014,7171.0,119.0,2.64,664.0,3074.0,4.63,499.0,11.09,-45
2015,6881.0,136.0,2.22,646.0,2129.0,3.3,460.0,7.54,14
2016,6831.0,-493.0,2.42,64.0,1742.0,27.22,-44.0,0.22,-462
2017,6937.0,-32.0,2.9,465.0,1835.0,3.95,110.0,-10.0,93
2018,6798.0,-9.0,4.5,409.0,1721.0,4.21,101.0,-50.5,71
2019,6411.0,-25.0,8.0,393.0,1952.0,4.97,40.0,40.0,-178
2020,6299.0,-29.0,15.84,376.0,1718.0,4.57,111.0,1.56,-16
