Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,166.0,5.0,0.15,5.0,0.0,0.0,1.0,0.03,0
2011,366.0,18.0,0.42,38.0,19.0,0.5,30.0,0.7,259
2012,309.0,15.0,0.45,40.0,38.0,0.95,41.0,1.21,-16
2013,320.0,20.0,0.57,49.0,9.0,0.18,32.0,0.91,33
2014,344.0,14.0,0.4,52.0,9.0,0.17,25.0,0.71,-30
2015,372.0,28.0,0.82,56.0,-3.0,-0.0,35.0,1.03,99
2016,383.0,28.0,0.87,60.0,22.0,0.37,32.0,1.0,0
2017,414.0,28.0,0.93,59.0,46.0,0.78,47.0,1.57,0
2018,469.0,39.0,1.29,68.0,36.0,0.53,46.0,1.53,39
2019,467.0,40.0,1.36,71.0,59.0,0.83,43.0,1.48,2
