Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,41.0,4.0,0.24,6.0,-29.0,-0.0,14.0,0.78,0
2012,38.0,-31.0,-1.41,-20.0,-24.0,-0.0,5.0,0.23,-873
2013,37.0,2.0,0.1,4.0,-93.0,-0.0,5.0,0.23,106
2014,30.0,19.0,0.88,6.0,-46.0,-0.0,1.0,0.05,845
2015,33.0,4.0,0.2,8.0,-36.0,-0.0,1.0,0.05,-78
2016,36.0,4.0,0.2,12.0,-33.0,-0.0,5.0,0.23,0
2017,41.0,5.0,0.24,12.0,-38.0,-0.0,12.0,0.55,24
2018,52.0,9.0,0.42,18.0,-18.0,-0.0,6.0,0.27,79
2019,56.0,16.0,0.72,24.0,61.0,2.54,15.0,0.68,77
2020,56.0,16.0,0.72,23.0,-36.0,-0.0,11.0,0.5,0
