Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,305.0,30.0,2.0,24.0,0.0,0.0,27.0,1.8,0
2011,658.0,13.0,0.87,26.0,-37.0,-0.0,35.0,2.33,-56
2012,702.0,56.0,3.73,94.0,-33.0,-0.0,98.0,6.53,330
2013,742.0,59.0,3.93,99.0,-42.0,-0.0,105.0,7.0,5
2014,777.0,58.0,3.87,95.0,-38.0,-0.0,91.0,6.07,-1
2015,797.0,-15.0,-1.07,-21.0,-39.0,-0.0,18.0,1.29,-125
2016,817.0,62.0,4.13,101.0,-15.0,-0.0,93.0,6.2,513
2017,837.0,61.0,4.06,96.0,-37.0,-0.0,75.0,5.0,-1
2018,833.0,81.0,5.39,110.0,-32.0,-0.0,116.0,7.73,32
2019,875.0,97.0,6.45,132.0,-38.0,-0.0,102.0,6.8,19
