Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,2.0,1.0,2.0,0.0,0.0,-2.0,-1.0,0
2011,-2.0,4.0,4.0,-1.0,62.0,0.0,2.0,2.0,99
2012,-1.0,0.0,0.0,-1.0,0.0,0.0,2.0,2.0,-100
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100
2014,26.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,19900
2015,38.0,7.0,3.5,13.0,-1.0,-0.0,5.0,2.5,248
2016,37.0,4.0,2.0,9.0,47.0,5.22,4.0,2.0,-42
2017,37.0,4.0,2.0,9.0,56.0,6.22,6.0,3.0,0
2018,40.0,7.0,3.5,10.0,74.0,7.4,7.0,3.5,74
2019,41.0,9.0,4.5,13.0,61.0,4.69,8.0,4.0,28
