Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,42.0,-20.0,-0.22,-7.0,0.0,0.0,0.0,0.0,0
2011,84.0,6.0,0.34,6.0,62.0,10.33,18.0,1.0,130
2012,90.0,1.0,0.07,1.0,58.0,58.0,-6.0,-0.33,-83
2013,88.0,50.0,2.64,10.0,55.0,5.5,43.0,2.26,4850
2014,97.0,4.0,0.14,9.0,50.0,5.56,14.0,0.52,-92
2015,141.0,20.0,0.6,34.0,38.0,1.12,20.0,0.61,398
2016,175.0,27.0,0.73,53.0,607.0,11.45,55.0,1.49,34
2017,233.0,41.0,0.95,86.0,177.0,2.06,44.0,1.02,51
2018,259.0,65.0,1.34,90.0,572.0,6.36,124.0,2.58,58
2019,312.0,97.0,1.85,136.0,68.0,0.5,112.0,2.15,49
