Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,18.0,-7.0,-3.5,1.0,0.0,0.0,0.0,0.0,0
2011,32.0,4.0,1.0,6.0,40.0,6.67,16.0,4.0,157
2012,33.0,4.0,1.0,9.0,24.0,2.67,5.0,1.25,0
2013,32.0,4.0,1.0,8.0,24.0,3.0,15.0,3.75,0
2014,32.0,4.0,1.0,9.0,12.0,1.33,3.0,0.75,0
2015,38.0,5.0,1.0,12.0,25.0,2.08,10.0,2.0,24
2016,41.0,7.0,1.4,15.0,19.0,1.27,14.0,2.8,39
2017,44.0,9.0,1.8,15.0,2.0,0.13,9.0,1.8,28
2018,47.0,10.0,1.4,15.0,-22.0,-0.0,15.0,2.14,10
2019,51.0,10.0,1.4,17.0,-1.0,-0.0,21.0,3.0,0
