Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,134.0,38.0,2.24,83.0,1198.0,14.43,47.0,2.76,0
2011,128.0,39.0,2.16,84.0,1329.0,15.82,67.0,3.72,2
2012,127.0,33.0,1.74,85.0,1114.0,13.11,64.0,3.37,-15
2013,135.0,40.0,2.1,71.0,1221.0,17.2,54.0,2.84,21
2014,129.0,21.0,1.01,38.0,893.0,23.5,51.0,2.43,-47
2015,170.0,42.0,1.56,78.0,1153.0,14.78,68.0,2.52,99
2016,177.0,47.0,1.74,84.0,1408.0,16.76,82.0,3.04,11
2017,179.0,52.0,1.78,95.0,1096.0,11.54,82.0,2.83,10
2018,211.0,73.0,2.13,106.0,790.0,7.45,109.0,3.21,40
2019,210.0,72.0,2.16,110.0,1065.0,9.68,65.0,1.97,-1
