Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,369.0,13.0,1.0,17.0,-43.0,-0.0,3.0,0.23,0
2011,762.0,25.0,1.31,55.0,-70.0,-0.0,10.0,0.53,92
2012,853.0,28.0,1.48,62.0,-45.0,-0.0,0.0,0.0,11
2013,883.0,25.0,1.31,59.0,-48.0,-0.0,10.0,0.53,-10
2014,938.0,23.0,1.22,59.0,-61.0,-0.0,26.0,1.37,-8
2015,981.0,27.0,1.42,67.0,-68.0,-0.0,32.0,1.68,17
2016,999.0,22.0,1.22,60.0,-62.0,-0.0,42.0,2.33,-18
2017,1018.0,18.0,1.13,60.0,-48.0,-0.0,24.0,1.5,-18
2018,1028.0,36.0,2.39,69.0,-67.0,-0.0,66.0,4.4,99
2019,1029.0,38.0,2.68,66.0,-33.0,-0.0,48.0,3.43,5
