Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,243.0,5.0,1.25,23.0,-18.0,-0.0,2.0,0.5,0
2012,259.0,0.0,0.0,10.0,7.0,0.7,-5.0,-5.0,-100
2013,241.0,0.0,0.0,9.0,-1.0,-0.0,12.0,12.0,-100
2014,245.0,6.0,1.2,19.0,-4.0,-0.0,6.0,1.2,59900
2015,240.0,4.0,1.0,17.0,1.0,0.06,1.0,0.25,-33
2016,208.0,-14.0,-14.0,-15.0,-1.0,-0.0,5.0,5.0,-449
2017,205.0,0.0,0.0,8.0,3.0,0.38,2.0,2.0,100
2018,214.0,-3.0,-3.0,10.0,6.0,0.6,-2.0,-2.0,-30100
2019,226.0,5.0,0.81,14.0,6.0,0.43,0.0,0.0,267
2020,218.0,4.0,0.58,12.0,17.0,1.42,-9.0,-1.29,-20
