Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1381.0,1.0,0.02,87.0,342.0,3.93,141.0,2.94,0
2011,1391.0,83.0,1.6,239.0,341.0,1.43,44.0,0.85,8117
2012,1593.0,136.0,2.57,336.0,949.0,2.82,-263.0,-4.96,63
2013,1971.0,160.0,2.54,303.0,71.0,0.23,747.0,11.86,17
2014,2207.0,174.0,2.63,401.0,71.0,0.18,250.0,3.79,8
2015,2329.0,91.0,1.33,243.0,964.0,3.97,-261.0,-3.84,-47
2016,2573.0,79.0,1.2,305.0,1619.0,5.31,-287.0,-4.35,-13
2017,2925.0,182.0,2.68,419.0,1897.0,4.53,661.0,9.72,130
2018,3038.0,392.0,4.82,699.0,827.0,1.18,550.0,6.79,115
2019,2078.0,448.0,5.72,-474.0,1288.0,0.0,626.0,8.03,14
