Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,82.0,14.0,0.82,12.0,0.0,0.0,0.0,0.0,0
2011,160.0,24.0,1.4,40.0,86.0,2.15,13.0,0.76,71
2012,160.0,26.0,1.64,44.0,63.0,1.43,32.0,2.0,8
2013,169.0,20.0,1.26,36.0,68.0,1.89,30.0,1.88,-23
2014,230.0,33.0,2.06,48.0,81.0,1.69,26.0,1.63,64
2015,372.0,72.0,1.29,86.0,111.0,1.29,9.0,0.16,118
2016,416.0,94.0,1.55,127.0,212.0,1.67,75.0,1.23,30
2017,492.0,91.0,1.32,136.0,1312.0,9.65,83.0,1.2,-3
2018,694.0,214.0,2.3,243.0,1523.0,6.27,231.0,2.51,135
2019,804.0,235.0,2.38,285.0,1404.0,4.93,197.0,2.01,9
