Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,22.0,4.0,1.0,4.0,79.0,19.75,4.0,1.0,0
2011,23.0,4.0,1.0,4.0,106.0,26.5,7.0,1.75,0
2012,27.0,4.0,1.0,6.0,95.0,15.83,7.0,1.75,0
2013,31.0,4.0,1.0,7.0,86.0,12.29,3.0,0.75,0
2014,37.0,4.0,0.8,10.0,139.0,13.9,0.0,0.0,0
2015,45.0,8.0,1.32,15.0,116.0,7.73,13.0,2.17,99
2016,51.0,12.0,2.0,20.0,117.0,5.85,12.0,2.0,49
2017,57.0,12.0,1.72,25.0,63.0,2.52,11.0,1.57,0
2018,69.0,20.0,2.84,30.0,46.0,1.53,26.0,3.71,66
2019,97.0,34.0,4.85,60.0,126.0,2.1,10.0,1.43,69
2020,101.0,30.0,4.28,56.0,83.0,1.48,-5.0,-0.71,-11
