Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,64.0,6.0,1.5,7.0,0.0,0.0,5.0,1.25,0
2011,123.0,11.0,2.2,14.0,63.0,4.5,12.0,2.4,83
2012,128.0,16.0,3.2,30.0,43.0,1.43,24.0,4.8,45
2013,126.0,13.0,2.6,24.0,29.0,1.21,21.0,4.2,-18
2014,132.0,13.0,2.6,24.0,19.0,0.79,19.0,3.8,0
2015,110.0,12.0,2.4,5.0,15.0,3.0,14.0,2.8,-7
2016,116.0,16.0,3.2,10.0,9.0,0.9,18.0,3.6,33
2017,117.0,52.0,10.4,4.0,-28.0,-0.0,-10.0,-2.0,224
2018,123.0,12.0,2.4,18.0,-24.0,-0.0,19.0,3.8,-76
2019,121.0,11.0,2.2,16.0,-34.0,-0.0,20.0,4.0,-8
