Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,150.0,4.0,1.32,6.0,21.0,3.5,-6.0,-2.0,0
2012,154.0,4.0,1.32,5.0,15.0,3.0,5.0,1.67,0
2013,196.0,0.0,0.0,5.0,17.0,3.4,-3.0,-0.75,-100
2014,221.0,4.0,1.0,7.0,21.0,3.0,-7.0,-1.75,39900
2015,228.0,4.0,1.0,7.0,30.0,4.29,-9.0,-2.25,0
2016,252.0,4.0,1.0,8.0,20.0,2.5,7.0,1.75,0
2017,251.0,2.0,0.5,6.0,26.0,4.33,-3.0,-0.75,-50
2018,276.0,-1.0,-0.25,1.0,37.0,37.0,-8.0,-2.0,-149
2019,289.0,-2.0,-0.5,7.0,43.0,6.14,-6.0,-1.5,-102
2020,288.0,2.0,0.5,11.0,32.0,2.91,15.0,3.75,200
