Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,30.0,2.0,0.1,1.0,0.0,0.0,0.0,0.0,0
2011,71.0,4.0,0.2,4.0,2.0,0.5,3.0,0.14,99
2012,97.0,4.0,0.2,5.0,1.0,0.2,2.0,0.1,0
2013,109.0,6.0,0.29,5.0,3.0,0.6,4.0,0.19,49
2014,121.0,4.0,0.19,5.0,2.0,0.4,0.0,0.0,-33
2015,118.0,4.0,0.2,5.0,1.0,0.2,-1.0,-0.05,0
2016,132.0,4.0,0.2,4.0,3.0,0.75,-3.0,-0.14,0
2017,179.0,2.0,0.1,5.0,-1.0,-0.0,3.0,0.15,-50
2018,228.0,2.0,0.08,4.0,4.0,1.0,-2.0,-0.09,0
2019,248.0,6.0,5.04,11.0,5.0,0.45,2.0,2.0,198
