Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,95.0,8.0,0.34,22.0,0.0,0.0,4.0,0.17,0
2011,249.0,11.0,0.48,87.0,164.0,1.89,10.0,0.43,37
2012,285.0,14.0,0.59,99.0,160.0,1.62,12.0,0.5,27
2013,307.0,27.0,0.58,117.0,191.0,1.63,-23.0,-0.48,92
2014,325.0,32.0,0.68,128.0,156.0,1.22,46.0,0.96,18
2015,341.0,39.0,0.78,144.0,123.0,0.85,50.0,1.02,21
2016,533.0,-1.0,-0.03,173.0,793.0,4.58,-5.0,-0.1,-102
2017,610.0,64.0,1.28,233.0,743.0,3.19,77.0,1.54,6564
2018,1052.0,42.0,0.84,263.0,684.0,2.6,129.0,2.58,-34
2019,1055.0,53.0,1.06,264.0,618.0,2.34,120.0,2.4,26
2020,906.0,53.0,1.06,258.0,591.0,2.29,132.0,2.64,0
