Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,475.0,151.0,2.74,225.0,0.0,0.0,0.0,0.0,0
2011,1011.0,14.0,0.13,295.0,725.0,2.46,184.0,1.67,-90
2012,1068.0,401.0,3.63,344.0,775.0,2.25,273.0,2.48,2762
2013,1108.0,156.0,1.56,411.0,1231.0,3.0,269.0,2.69,-61
2014,1173.0,114.0,1.16,336.0,1306.0,3.89,286.0,2.92,-26
2015,1263.0,192.0,1.97,456.0,1406.0,3.08,364.0,3.75,68
2016,1318.0,156.0,1.66,428.0,1516.0,3.54,337.0,3.59,-18
2017,1357.0,312.0,3.54,580.0,1944.0,3.35,311.0,3.53,99
2018,1461.0,315.0,3.7,638.0,2062.0,3.23,279.0,3.28,0
2019,2974.0,219.0,2.6,552.0,2100.0,3.8,269.0,3.2,-30
2020,2948.0,204.0,2.42,541.0,2241.0,4.14,244.0,2.9,-6
