Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,294.0,29.0,0.6,80.0,217.0,2.71,-23.0,-0.49,0
2012,439.0,77.0,1.5,147.0,193.0,1.31,-4.0,-0.08,165
2013,544.0,74.0,1.4,146.0,218.0,1.49,-12.0,-0.23,-3
2014,875.0,120.0,2.24,220.0,156.0,0.71,78.0,1.47,62
2015,641.0,10.0,1.11,84.0,193.0,2.3,8.0,0.89,-91
2016,557.0,-39.0,1.1,19.0,-196.0,-0.0,-43.0,1.23,-489
2017,1239.0,143.0,1.77,264.0,127.0,0.48,-145.0,-1.81,466
2018,1576.0,-202.0,1.59,-12.0,1057.0,0.0,-3.0,0.02,-241
2019,1472.0,-329.0,-4.5,-154.0,1046.0,0.0,26.0,0.36,-62
2020,1363.0,-382.0,-5.22,-248.0,1108.0,0.0,5.0,0.07,-16
