Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,18.0,-4.0,-0.28,-4.0,-18.0,-0.0,-5.0,-0.36,0
2012,20.0,-3.0,-0.19,-2.0,-17.0,-0.0,-2.0,-0.13,24
2013,20.0,-4.0,0.0,-4.0,-15.0,-0.0,-6.0,0.03,-33
2014,25.0,2.0,0.14,2.0,-13.0,-0.0,-4.0,-0.31,150
2015,29.0,0.0,0.0,2.0,-15.0,-0.0,-1.0,-1.0,-100
2016,30.0,2.0,0.06,2.0,-12.0,-0.0,-6.0,-0.21,19900
2017,36.0,-2.0,-2.0,0.0,-1.0,0.0,-6.0,-6.0,-199
2018,38.0,0.0,0.0,2.0,-3.0,-0.0,0.0,0.0,100
2019,43.0,2.0,0.08,2.0,-2.0,-0.0,-4.0,-0.18,19900
2020,48.0,2.0,0.12,2.0,-3.0,-0.0,-4.0,-0.25,0
