Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,542.0,15.0,0.35,6.0,-80.0,-0.0,1.0,0.02,0
2011,1176.0,18.0,0.42,49.0,-94.0,-0.0,27.0,0.63,19
2012,1230.0,24.0,0.58,58.0,-67.0,-0.0,27.0,0.64,33
2013,1261.0,25.0,0.58,66.0,-66.0,-0.0,4.0,0.09,4
2014,1315.0,26.0,0.59,72.0,-65.0,-0.0,11.0,0.25,3
2015,1358.0,22.0,0.49,69.0,179.0,2.59,-5.0,-0.11,-15
2016,1358.0,1.0,0.02,36.0,171.0,4.75,22.0,0.48,-95
2017,1318.0,-24.0,-0.51,2.0,145.0,72.5,27.0,0.59,-2476
2018,1307.0,-11.0,-0.24,33.0,177.0,5.36,-40.0,-0.87,54
2019,1271.0,-7.0,-0.16,35.0,144.0,4.11,2.0,0.04,36
