Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,65.0,4.0,0.12,8.0,0.0,0.0,2.0,0.06,0
2011,56.0,-157.0,-4.49,-153.0,-45.0,-0.0,-25.0,-0.71,-4015
2012,43.0,-23.0,-0.65,-21.0,-31.0,-0.0,-16.0,-0.46,85
2013,40.0,-27.0,-0.75,-23.0,-14.0,-0.0,-18.0,-0.5,-17
2014,35.0,-10.0,-1.0,-8.0,-12.0,-0.0,-9.0,-0.9,62
2015,38.0,-4.0,-0.4,-2.0,-12.0,-0.0,-1.0,-0.1,59
2016,27.0,-13.0,-1.17,-12.0,0.0,0.0,-13.0,-1.18,-225
2017,20.0,-4.0,-0.3,-3.0,0.0,0.0,-9.0,-0.69,69
2018,24.0,-3.0,-0.15,0.0,-12.0,0.0,-6.0,-0.32,24
2019,41.0,10.0,0.26,10.0,-28.0,-0.0,7.0,0.19,434
