Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,69.0,-288.0,-12.01,-237.0,0.0,0.0,8.0,0.33,0
2011,103.0,19.0,0.79,52.0,81.0,1.56,77.0,3.21,106
2012,45.0,-87.0,-3.63,9.0,83.0,9.22,0.0,0.0,-557
2013,43.0,-28.0,-1.08,-2.0,46.0,0.0,57.0,2.19,67
2014,76.0,9.0,0.24,27.0,38.0,1.41,10.0,0.26,132
2015,66.0,-136.0,2.34,-114.0,98.0,0.0,11.0,-0.19,-1609
2016,69.0,20.0,5.0,56.0,150.0,2.68,36.0,9.0,114
2017,87.0,-2.0,-0.15,32.0,186.0,5.81,60.0,4.29,-109
2018,52.0,16.0,0.13,39.0,176.0,4.51,73.0,0.64,904
2019,104.0,-51.0,-2.68,9.0,143.0,15.89,54.0,2.84,-418
