Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,106.0,11.0,0.57,15.0,0.0,0.0,15.0,0.79,0
2011,216.0,17.0,0.89,29.0,7.0,0.24,58.0,3.05,54
2012,191.0,12.0,0.65,24.0,-16.0,-0.0,26.0,1.44,-29
2013,207.0,9.0,0.49,20.0,-20.0,-0.0,-1.0,-0.06,-25
2014,-1.0,14.0,0.71,23.0,-35.0,-0.0,18.0,0.95,55
2015,217.0,13.0,0.71,22.0,-65.0,-0.0,34.0,1.89,-7
2016,276.0,21.0,0.98,31.0,19.0,0.61,-9.0,-0.43,61
2017,388.0,25.0,1.29,42.0,182.0,4.33,-17.0,-0.89,18
2018,466.0,15.0,1.5,49.0,180.0,3.67,105.0,10.5,-40
2019,510.0,22.0,1.29,45.0,211.0,4.69,-28.0,-1.47,46
