Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,747.0,-44.0,0.31,122.0,0.0,0.0,-5.0,0.04,0
2010,1561.0,81.0,1.01,418.0,815.0,1.95,133.0,1.71,284
2011,1962.0,141.0,1.74,576.0,1606.0,2.79,8.0,0.1,74
2012,4291.0,363.0,2.41,1226.0,1743.0,1.42,-106.0,-0.71,157
2013,4348.0,-113.0,1.8,842.0,1470.0,1.75,283.0,-4.49,-131
2014,4555.0,256.0,1.63,1189.0,1227.0,1.03,416.0,2.68,326
2015,2773.0,-1853.0,1.63,-1349.0,1053.0,0.0,294.0,-0.26,-823
2016,1449.0,-884.0,1.63,-497.0,1097.0,0.0,-12.0,0.02,52
2017,1873.0,-205.0,1.27,161.0,1107.0,6.88,-40.0,0.25,76
2018,2129.0,-856.0,1.25,-403.0,1124.0,0.0,-22.0,0.03,-317
2019,1424.0,-254.0,-16.92,290.0,1014.0,3.5,93.0,6.2,70
