Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,28.0,-13.0,-0.26,-3.0,0.0,0.0,-2.0,-0.04,0
2011,191.0,48.0,0.84,57.0,-161.0,-0.0,38.0,0.67,469
2012,266.0,93.0,1.46,91.0,-67.0,-0.0,66.0,1.03,93
2013,154.0,-60.0,-1.0,-12.0,-159.0,-0.0,-6.0,-0.1,-164
2014,184.0,-43.0,-0.67,-5.0,-132.0,-0.0,-8.0,-0.13,28
2015,160.0,-51.0,-0.79,-6.0,-140.0,-0.0,4.0,0.06,-18
2016,144.0,-68.0,-0.95,-29.0,-62.0,-0.0,-41.0,-0.57,-33
2017,127.0,-89.0,-1.05,-66.0,-228.0,-0.0,-41.0,-0.48,-30
2018,84.0,-119.0,-1.15,-89.0,-203.0,-0.0,-61.0,-0.59,-33
2019,0.0,-111.0,-0.99,-146.0,-223.0,-0.0,-141.0,-1.28,6
