Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2532.0,30.0,1.37,105.0,131.0,1.25,57.0,2.59,0
2011,2632.0,30.0,1.35,105.0,111.0,1.06,51.0,2.32,0
2012,2605.0,26.0,1.24,102.0,143.0,1.4,21.0,1.0,-13
2013,2483.0,27.0,1.29,99.0,0.0,0.0,51.0,2.43,3
2014,7914.0,57.0,1.58,201.0,563.0,2.8,59.0,1.64,111
2015,7650.0,61.0,1.7,207.0,464.0,2.24,165.0,4.58,6
2016,7733.0,54.0,1.49,186.0,406.0,2.18,90.0,2.5,-11
2017,8126.0,-53.0,-1.48,-22.0,734.0,0.0,-12.0,-0.33,-198
2018,8062.0,32.0,0.9,153.0,679.0,4.44,108.0,3.09,160
2019,8533.0,5.0,0.15,127.0,-18.0,-0.0,124.0,3.54,-84
