Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,326.0,4.0,0.2,17.0,0.0,0.0,7.0,0.37,0
2011,764.0,44.0,0.32,32.0,188.0,5.88,-19.0,-0.14,997
2012,612.0,3.0,0.6,48.0,157.0,3.27,49.0,9.8,-93
2013,657.0,16.0,0.68,74.0,135.0,1.82,20.0,0.87,431
2014,659.0,-59.0,0.61,4.0,-14.0,-0.0,-3.0,0.03,-468
2015,643.0,18.0,0.8,47.0,-37.0,-0.0,26.0,1.18,130
2016,693.0,73.0,2.79,65.0,-34.0,-0.0,43.0,1.65,305
2017,823.0,43.0,1.57,84.0,-59.0,-0.0,47.0,1.74,-41
2018,863.0,53.0,1.87,95.0,-79.0,-0.0,52.0,1.86,23
2019,833.0,58.0,2.06,101.0,-66.0,-0.0,-14.0,-0.5,9
