Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,164.0,13.0,0.17,30.0,0.0,0.0,23.0,0.31,0
2011,369.0,49.0,0.61,139.0,60.0,0.43,104.0,1.3,276
2012,549.0,45.0,0.56,190.0,925.0,4.87,117.0,1.43,-8
2013,711.0,116.0,1.38,290.0,690.0,2.38,196.0,2.31,157
2014,765.0,129.0,0.75,306.0,510.0,1.67,238.0,1.37,11
2015,997.0,43.0,0.23,326.0,2317.0,7.11,217.0,1.14,-66
2016,1480.0,130.0,0.64,529.0,2383.0,4.5,390.0,1.9,202
2017,1673.0,328.0,1.55,638.0,1980.0,3.1,435.0,2.06,152
2018,3418.0,103.0,0.41,968.0,8089.0,8.36,614.0,2.53,-68
2019,4632.0,437.0,1.63,1741.0,7001.0,4.02,1272.0,4.82,324
