Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,97.0,21.0,0.67,31.0,0.0,0.0,14.0,0.45,0
2011,179.0,45.0,1.43,68.0,-43.0,-0.0,68.0,2.19,114
2012,185.0,32.0,1.17,49.0,-76.0,-0.0,79.0,2.93,-28
2013,188.0,49.0,1.73,73.0,132.0,1.81,80.0,2.86,53
2014,193.0,56.0,2.0,81.0,276.0,3.41,72.0,2.57,14
2015,237.0,65.0,2.02,93.0,481.0,5.17,55.0,1.72,16
2016,256.0,70.0,2.05,101.0,631.0,6.25,91.0,2.68,7
2017,279.0,71.0,2.13,124.0,565.0,4.56,107.0,3.24,1
2018,281.0,103.0,3.01,128.0,448.0,3.5,121.0,3.56,45
2019,297.0,96.0,2.8,125.0,219.0,1.75,132.0,3.88,-6
