Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,234.0,9.0,0.56,9.0,0.0,0.0,9.0,0.56,0
2011,499.0,-36.0,-2.25,-36.0,-57.0,-0.0,-1.0,-0.06,-499
2012,629.0,17.0,1.06,29.0,-25.0,-0.0,1.0,0.06,147
2013,554.0,-69.0,-4.31,-50.0,10.0,0.0,-29.0,-1.81,-505
2014,670.0,-4.0,-0.22,14.0,16.0,1.14,-18.0,-1.0,94
2015,622.0,-35.0,-1.84,1.0,15.0,15.0,9.0,0.47,-777
2016,688.0,-7.0,-0.3,11.0,-38.0,-0.0,38.0,1.65,79
2017,956.0,15.0,0.57,41.0,6.0,0.15,21.0,0.81,314
2018,1036.0,28.0,1.03,60.0,-12.0,-0.0,28.0,1.04,86
2019,1124.0,38.0,1.38,60.0,387.0,6.45,26.0,0.96,35
