Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,98.0,4.0,0.26,4.0,0.0,0.0,-8.0,-0.5,0
2011,237.0,3.0,0.18,13.0,62.0,4.77,4.0,0.24,-25
2012,244.0,-66.0,-3.88,-61.0,62.0,0.0,1.0,0.06,-2292
2013,206.0,-2.0,-0.12,5.0,47.0,9.4,15.0,0.88,96
2014,203.0,0.0,0.0,7.0,57.0,8.14,-10.0,-0.56,100
2015,204.0,-8.0,-0.46,-1.0,50.0,0.0,4.0,0.22,-80100
2016,192.0,-3.0,-0.16,2.0,44.0,22.0,4.0,0.22,62
2017,188.0,0.0,0.0,5.0,45.0,9.0,-3.0,-0.17,100
2018,172.0,-1.0,-0.06,4.0,44.0,11.0,2.0,0.11,-10100
2019,171.0,-4.0,-2.0,7.0,45.0,6.43,-2.0,-1.0,-304
