Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-2.0,-0.02,-1.0,0.0,0.0,-1.0,-0.01,0
2011,0.0,-4.0,-0.04,-4.0,0.0,0.0,-6.0,-0.06,-101
2012,0.0,-4.0,-0.04,-4.0,0.0,0.0,-4.0,-0.03,0
2013,0.0,-4.0,-0.68,-2.0,-1.0,-0.0,-6.0,-1.0,0
2014,19.0,-23.0,-2.09,-16.0,0.0,0.0,-4.0,-0.36,-476
2015,52.0,0.0,0.0,2.0,-8.0,-0.0,-4.0,-0.17,100
2016,84.0,-9.0,-0.45,-5.0,-9.0,-0.0,-3.0,-0.15,-90100
2017,76.0,-5.0,-0.23,-5.0,-4.0,-0.0,-1.0,-0.05,44
2018,69.0,-4.0,-0.16,-4.0,1.0,0.0,-7.0,-0.29,19
2019,58.0,-9.0,-2.25,-7.0,1.0,0.0,-5.0,-1.25,-125
