Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,15.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2011,31.0,4.0,4.0,4.0,-1.0,-0.0,-2.0,-2.0,99
2012,29.0,2.0,1.0,4.0,-2.0,-0.0,-2.0,-1.0,-50
2013,29.0,2.0,1.0,2.0,-1.0,-0.0,-2.0,-1.0,0
2014,29.0,-4.0,-2.0,-5.0,1.0,0.0,-2.0,-1.0,-299
2015,35.0,5.0,2.5,7.0,1.0,0.14,0.0,0.0,225
2016,36.0,4.0,2.0,4.0,0.0,0.0,-2.0,-1.0,-20
2017,40.0,4.0,2.0,4.0,-1.0,-0.0,-1.0,-0.5,0
2018,45.0,4.0,2.0,5.0,1.0,0.2,-4.0,-2.0,0
2019,54.0,4.0,2.0,4.0,4.0,1.0,-4.0,-2.0,0
