Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1326.0,105.0,2.14,194.0,335.0,1.73,100.0,2.04,0
2011,1428.0,118.0,2.4,236.0,312.0,1.32,72.0,1.47,12
2012,1451.0,121.0,2.46,239.0,338.0,1.41,38.0,0.78,2
2013,1460.0,112.0,2.28,224.0,336.0,1.5,54.0,1.1,-7
2014,1446.0,73.0,1.52,181.0,446.0,2.46,111.0,2.31,-34
2015,1375.0,105.0,2.33,212.0,622.0,2.93,60.0,1.33,43
2016,1381.0,125.0,2.84,232.0,577.0,2.49,146.0,3.32,19
2017,1360.0,88.0,2.04,215.0,595.0,2.77,135.0,3.14,-29
2018,1385.0,156.0,3.69,255.0,678.0,2.66,36.0,0.86,77
2019,1321.0,81.0,1.91,175.0,597.0,3.41,140.0,3.33,-48
2020,1324.0,69.0,1.62,158.0,586.0,3.71,152.0,3.62,-14
